x1         x2        y
20.424049  0.3015210 36.172660 
32.740493  1.3469176 28.415784 
24.949994  1.1793272 28.376674 
27.726098  0.9360980 -4.515564 
13.548628  2.0794730 12.169991 
20.988722  0.9834769 27.996572 
15.175683  0.9979689 23.448322 
32.347302  1.0945375 23.722077 
24.180196  0.2266746 17.164225 
17.832257  0.6170786 18.524674 
22.641634  1.0389379 30.856547 
17.932676  0.8251406 34.988192 
19.599340  1.6542588 23.697839 
17.268653  1.6862939 13.336679 
21.071579  1.0825674  7.190542 
17.861178  1.8216404  9.900166 
18.251051  1.4952264 36.018183 
21.361258  1.3816263 20.728870 
10.991203  0.8095090  6.423610 
24.480757  1.1811755 28.424869 
30.918685  1.5614550 36.540587 
12.432344  1.4433077  8.045733 
18.055960  0.4068745  8.174378 
13.283496  0.8513737 22.889433 
21.636152  0.1005623 17.298382 
20.683323  1.7414297 12.047421 
19.851599  0.5043327 18.038459 
17.971655  0.7542474  9.008361 
19.392062  0.7009611  3.332589 
22.608773  1.1436205 24.224387 
20.569222  0.9959068  9.809817 
12.441211  0.3284530 16.710818 
24.271953  0.8593872 17.506492 
17.433516  0.4172494 21.367042 
15.731629  0.7829496 19.486817 
 8.838389  1.6351890  7.335489 
16.679520  1.1768583 33.364798 
21.868260  0.6568893 30.868590 
30.567077  1.1942993  8.290576 
16.417312  1.2362076 16.251574 
15.222152  0.7558205  7.983277 
22.749492  1.5097463 20.319782 
25.370351  2.2907838 23.707241 
23.107769  1.6209638 -3.373905 
15.713221  0.2689681  9.543545 
16.943299  1.2542006 26.226908 
13.292352  0.7979708 -3.432355 
19.418659  0.5936635 34.679937 
13.583880  0.8318913  1.618307 
22.875426  1.0651975 20.224672 
15.678596  1.7708090 21.726847 
13.636663  1.3785290 23.753775 
24.268092  0.8383371 15.090995 
 8.661234  1.2763992  3.323461 
23.008988  0.1896413 22.318067 
28.940469  1.3725636 24.771477 
33.966796  1.5290803 28.004292 
12.433720  0.3860905 -0.437013 
22.909829  0.7128470 29.126899 
24.933684  1.6047087 33.894583 
34.544512  1.6906322 35.498954 
12.839284  0.3515460  6.999987 
20.688062  0.8666730 28.669769 
14.108515  0.7018883 37.344229 
27.201202  1.0015945 17.742497 
27.993710  2.2567365 25.306245 
17.307061  0.2432890 23.778666 
20.728319  1.3216408 30.740571 
27.939226  1.1999053 15.294570 
14.395867  0.4170993 -1.239682 
12.036973  2.0120595  4.902457 
17.774594  1.0789535 13.860994 
23.331060  1.1784824 29.946183 
22.156740  0.9937915 13.502423 
14.762079  0.2667101 33.036760 
19.370381  0.6643491 22.186529 
17.468652  1.1206718 21.487831 
19.195337 -0.1253381 11.231633 
22.339424  1.7374651 22.833496 
17.908903  1.5579890 35.988274 
13.390201  1.1618244  8.593378 
25.458818  1.4485240 26.219182 
16.854265  0.6694063  1.127691 
25.330257  1.3131369 18.506039 
20.365380  1.0294427 25.409254 
22.614102  1.6407138 19.723094 
 9.104253  1.7079262 32.013707 
 7.521016  1.0062705  1.216972 
20.297314  1.0694362 36.740244 
20.962793  0.5752742 47.219575 
21.572200  0.7689311 38.483794 
22.031957  1.0229428 12.635278 
27.956004  0.8597014 17.897669 
22.354407  0.8914068 15.351026 
15.551362  0.1174105 13.759553 
24.082161  1.4166113 16.811138 
21.982819  1.3674975 25.881897 
11.778692  1.4063972 28.399718 
10.403910  1.8212314  4.083947 
22.863902  1.2976605 23.642835 
